x,y,heading,index
-42.67554087709868,-134.68194762151688,0.0,0
-42.72977824386908,-134.57412901846692,0.0,1
-42.781146956956945,-134.47201720252633,0.0,2
-42.82735057070386,-134.3801745516248,0.0,3
-42.881698561657686,-134.2721423250623,0.0,4
-42.931140852801036,-134.17386046377942,0.0,5
-42.9858932045172,-134.06501951720566,0.0,6
-43.06175227370113,-133.91423216694966,0.0,7
-43.128349258739036,-133.78184691537172,0.0,8
-43.18173594737891,-133.67572203464806,0.0,9
-43.25536723312689,-133.52935973135754,0.0,10
-43.310996963235084,-133.41876402543858,0.0,11
-43.38443751411978,-133.27278319234028,0.0,12
-43.4568519127788,-133.12884703464806,0.0,13
-43.5106849205913,-133.02284422749653,0.0,14
-43.58201213000575,-132.88376036426052,0.0,15
-43.63402552664047,-132.77829161519185,0.0,16
-43.701042128610425,-132.63424864504486,0.0,17
-43.76884837314719,-132.4884203984402,0.0,18
-43.836982680193614,-132.3416918842122,0.0,19
-43.88826747197891,-132.23175230901688,0.0,20
-43.939445450145286,-132.1220416147262,0.0,21
-44.00737376365578,-131.97624388430268,0.0,22
-44.05826564010931,-131.86711302632466,0.0,23
-44.10911937028868,-131.75793639104813,0.0,24
-44.16002269007731,-131.64872923865914,0.0,25
-44.21096034231596,-131.5406664935872,0.0,26
-44.26180262787966,-131.43382444838062,0.0,27
-44.31132502760738,-131.32843199465424,0.0,28
-44.35901255719364,-131.22139158891514,0.0,29
-44.4042777545983,-131.11218443745747,0.0,30
-44.449211074912455,-131.00097838416696,0.0,31
-44.49478907685261,-130.8889178368263,0.0,32
-44.540538742847275,-130.77655211323872,0.0,33
-44.58642192016123,-130.6641100961715,0.0,34
-44.64752574125305,-130.51469603227451,0.0,35
-44.693122816679534,-130.40300169866532,0.0,36
-44.73867793154204,-130.29149046819657,0.0,37
-44.79936213750625,-130.1428393451497,0.0,38
-44.84491343557602,-130.03128233738244,0.0,39
-44.90570445189951,-129.88243285007775,0.0,40
-44.95132441626629,-129.77069273637608,0.0,41
-45.01233287068317,-129.62358275102451,0.0,42
-45.05756755039329,-129.51500120852143,0.0,43
-45.10128779517254,-129.40529051842168,0.0,44
-45.14288706931984,-129.2938555800356,0.0,45
-45.19844813441159,-129.14355650776997,0.0,46
-45.24060054071015,-129.03007689351216,0.0,47
-45.29684443533188,-128.8785266005434,0.0,48
-45.353221848083194,-128.72732726018876,0.0,49
-45.395282699377276,-128.61416807910427,0.0,50
-45.43737406824948,-128.5011920076795,0.0,51
-45.493377639271785,-128.35061827488244,0.0,52
-45.53541560290614,-128.23768797703087,0.0,53
-45.577468825213145,-128.12469664495438,0.0,54
-45.61954493605299,-128.0116137578152,0.0,55
-45.661640120553784,-127.8985232473351,0.0,56
-45.71775813365821,-127.74772062757984,0.0,57
-45.759841873834375,-127.63463011337444,0.0,58
-45.801925613719504,-127.52156248595566,0.0,59
-45.8580207360792,-127.37083617039025,0.0,60
-45.90007777343271,-127.25804320257157,0.0,61
-45.94238658173708,-127.14660826511681,0.0,62
-45.984176589234266,-127.03668395336717,0.0,63
-46.024696303589735,-126.92754546133801,0.0,64
-46.062644912162796,-126.81656828848645,0.0,65
-46.110679580655415,-126.66504088509828,0.0,66
-46.15916819771519,-126.51152983680367,0.0,67
-46.19581980962539,-126.39585295366123,0.0,68
-46.232593490800355,-126.28007689397782,0.0,69
-46.2693786167074,-126.16464415472001,0.0,70
-46.305950119916815,-126.0495928847231,0.0,71
-46.34248728817329,-125.9347247206606,0.0,72
-46.37914271611953,-125.82123747654259,0.0,73
-46.42780299327569,-125.672044666484,0.0,74
