x,y,heading,index
434.9321899873903,-140.15173521544784,0.0,0
434.93063359119697,-140.04451170749962,0.0,1
434.9303284151829,-139.93998900661245,0.0,2
434.9326782684657,-139.83169737830758,0.0,3
434.9285889136954,-139.72856322163716,0.0,4
434.9173889613012,-139.6221484253183,0.0,5
434.90420536714373,-139.5218524034135,0.0,6
434.88778691220796,-139.40921202721074,0.0,7
434.86853032023646,-139.28531065862626,0.0,8
434.8523865203024,-139.1852587792091,0.0,9
434.8346863259212,-139.07907286379486,0.0,10
434.81555180373834,-138.9665392972529,0.0,11
434.795013473602,-138.84784117434174,0.0,12
434.7736511681578,-138.7268084604293,0.0,13
434.75222782813944,-138.604905994609,0.0,14
434.72402958601015,-138.4438647357747,0.0,15
434.7037048807251,-138.325532827992,0.0,16
434.68429570121225,-138.20909300632775,0.0,17
434.66485600260785,-138.09501829603687,0.0,18
434.6430359352962,-137.98050108971074,0.0,19
434.6179810023168,-137.8652819734998,0.0,20
434.5915222624899,-137.74832335254177,0.0,21
434.56509403901873,-137.63011351320893,0.0,22
434.53857426380273,-137.51173582673073,0.0,23
434.5116882776492,-137.39470091927797,0.0,24
434.48526005481835,-137.2796496488154,0.0,25
434.4601135716657,-137.16592589393258,0.0,26
434.43789677345194,-137.0510577308014,0.0,27
434.41784672625363,-136.9341296297498,0.0,28
434.3980713355704,-136.8158587552607,0.0,29
434.37777714501135,-136.6964282123372,0.0,30
434.3574524379219,-136.57666197651997,0.0,31
434.33703617955325,-136.45703306794167,0.0,32
434.31661991990404,-136.3376330449246,0.0,33
434.2895203107619,-136.17900267336518,0.0,34
434.26190190197667,-136.0225085336715,0.0,35
434.24127201829106,-135.90689269034192,0.0,36
434.21554569905857,-135.75499144662172,0.0,37
434.19400028919335,-135.60313597647473,0.0,38
434.18194584565936,-135.48704710695893,0.0,39
434.1716614229372,-135.36796751851216,0.0,40
434.161529586243,-135.24751463811845,0.0,41
434.14678959560115,-135.08688536612317,0.0,42
434.13150029076496,-134.9291094862856,0.0,43
434.12121586699504,-134.81283751456067,0.0,44
434.11395268159686,-134.69577208720148,0.0,45
434.1077576141688,-134.53735533589497,0.0,46
434.10165409889305,-134.37683287635446,0.0,47
434.0969238745165,-134.255708607845,0.0,48
434.0920715787797,-134.1343096815981,0.0,49
434.08551029948285,-133.97290221508592,0.0,50
434.0806885228958,-133.8522662241012,0.0,51
434.0758057102794,-133.73185912007466,0.0,52
434.07098393229535,-133.61152831092477,0.0,53
434.0661316374899,-133.49119749851525,0.0,54
434.0596619119751,-133.33061400149018,0.0,55
434.0548096164712,-133.21003904938698,0.0,56
434.04995732038515,-133.08944884082302,0.0,57
434.0450439915294,-132.9691027724184,0.0,58
434.03948979097186,-132.84999266639352,0.0,59
434.03240971342893,-132.69330016011372,0.0,60
434.02960209728917,-132.5749987680465,0.0,61
434.02886967529776,-132.45553770661354,0.0,62
434.02798466483364,-132.33528319140896,0.0,63
434.0269775852794,-132.21423521777615,0.0,64
434.0257263635285,-132.05256834859028,0.0,65
434.024627732113,-131.93176451558247,0.0,66
434.02416996855754,-131.81184569373727,0.0,67
434.0227356409887,-131.69313231436536,0.0,68
434.02102665725397,-131.58452025149018,0.0,69
434.019134567352,-131.47532836068422,0.0,70
434.017211959057,-131.36198607459664,0.0,71
434.0151978000067,-131.2444171071984,0.0,72
434.0131836399669,-131.1234454237856,0.0,73
434.0111694789375,-131.0009326073341,0.0,74
434.00842289760476,-130.83708372851834,0.0,75
434.0064087364008,-130.7150439368561,0.0,76
434.0037231911556,-130.5540026742965,0.0,77
434.00103764416417,-130.39396849367768,0.0,78
433.99902348424075,-130.27401915332302,0.0,79
433.9970093226875,-130.15377989644185,0.0,80
433.99502567987656,-130.03326597902924,0.0,81
433.9929810022586,-129.9125537010841,0.0,82
433.9902954567806,-129.75148192420602,0.0,83
433.98828129656613,-129.63069334533066,0.0,84
433.98626713617705,-129.51001158775762,0.0,85
433.98358158924384,-129.34919920936227,0.0,86
433.9815674290294,-129.22862425912172,0.0,87
433.97955326910596,-129.10804930515587,0.0,88
433.97753910830943,-128.98745909752324,0.0,89
433.9755249473383,-128.86682310979813,0.0,90
433.9728394007543,-128.70599547447637,0.0,91
433.9701538537047,-128.54515257384628,0.0,92
433.9681396955275,-128.42451659077778,0.0,93
433.96545414766297,-128.26368895173073,0.0,94
433.96276860003127,-128.10286131873727,0.0,95
433.9607544406899,-127.98224821919575,0.0,96
433.9587402813486,-127.86163512524217,0.0,97
433.9567261208431,-127.74101439118385,0.0,98
433.95404057431733,-127.58018675493076,0.0,99
433.95202641404467,-127.45956603111699,0.0,100
433.95001225249143,-127.33893767045811,0.0,101
433.947326706897,-127.17811003513634,0.0,102
433.9453125449945,-127.05748930713162,0.0,103
433.94262699992396,-126.89666167134419,0.0,104
433.93994145229226,-126.73584166448563,0.0,105
433.9372559056501,-126.57501402916387,0.0,106
433.93524174479535,-126.45439330022782,0.0,107
433.933227584057,-126.33377257175744,0.0,108
433.9312134257634,-126.213151847478,0.0,109
433.92919926543254,-126.0925311180763,0.0,110
433.9271851037047,-125.97190276067704,0.0,111
433.92517094529467,-125.85128966439515,0.0,112
433.92248539830325,-125.6904620253481,0.0,113
