x,y,heading,index
434.5571289526415,-140.32832518732175,0.0,0
434.5414734351798,-140.22932616295293,0.0,1
434.5758972626063,-140.12655821722,0.0,2
434.6227112283814,-140.007814317476,0.0,3
434.67575077945367,-139.88136473298073,0.0,4
434.7177124473383,-139.7843035776168,0.0,5
434.76495365821756,-139.6767138587311,0.0,6
434.817443894397,-139.55851927446201,0.0,7
434.86016850353917,-139.4629077045247,0.0,8
434.90527348284377,-139.36424437258393,0.0,9
434.9664307109779,-139.23192015476525,0.0,10
435.01126103207935,-139.1330432035029,0.0,11
435.0540161592653,-139.03444090671837,0.0,12
435.09414677368477,-138.9355639507994,0.0,13
435.13095097459154,-138.83578673377633,0.0,14
435.1640930628055,-138.73469725390896,0.0,15
435.1933289034059,-138.63218871084973,0.0,16
435.2183838345227,-138.52838316792622,0.0,17
435.2390747531899,-138.4235400292091,0.0,18
435.25524906854844,-138.31793394917622,0.0,19
435.2666931601125,-138.21185484807938,0.0,20
435.27438359108055,-138.0700396616012,0.0,21
435.27432255644817,-137.96370115922764,0.0,22
435.2691956022172,-137.85760680027306,0.0,23
435.254364060238,-137.7169360225089,0.0,24
435.23733525094576,-137.6123065073043,0.0,25
435.2152710427763,-137.5087451050058,0.0,26
435.18817143159686,-137.40648070303723,0.0,27
435.1443787080352,-137.27260008873418,0.0,28
435.10586552339373,-137.1743792630732,0.0,29
435.0625610820716,-137.07826414890587,0.0,30
435.01464848412434,-136.9845446641557,0.0,31
434.96215824986575,-136.89341918192804,0.0,32
434.90530400088755,-136.80510131036863,0.0,33
434.82293705805205,-136.69209471531212,0.0,34
434.73339848255273,-136.58494750130922,0.0,35
434.66043095412897,-136.5080279475078,0.0,36
434.5512390587246,-136.40860167518258,0.0,37
434.46182255476015,-136.33581725042313,0.0,38
434.3352051235852,-136.23910704720765,0.0,39
434.2058411099133,-136.1419543349184,0.0,40
434.11035160842584,-136.06912413751706,0.0,41
434.0166626434657,-135.99815551005304,0.0,42
433.86282353289425,-135.885103139095,0.0,43
433.77056889393134,-135.82092467322946,0.0,44
433.67749028018443,-135.75978270359337,0.0,45
433.58300785842584,-135.70158568397164,0.0,46
433.4869080046192,-135.64666930306703,0.0,47
433.3590393533814,-135.57766905380413,0.0,48
433.26373295491794,-135.5319537250325,0.0,49
433.16488652012777,-135.49597350042313,0.0,50
433.03118901059497,-135.4497088524513,0.0,51
432.9251404260867,-135.41993895405903,0.0,52
432.81085209635785,-135.39241209859028,0.0,53
432.6982117151492,-135.36606016987935,0.0,54
432.5940552210086,-135.34091368643567,0.0,55
432.46929936279776,-135.31099120201543,0.0,56
432.34591679420555,-135.2909869272262,0.0,57
432.2156372520258,-135.28375426214188,0.0,58
432.11395268369233,-135.28535643499345,0.0,59
432.0109253395931,-135.29150573071092,0.0,60
431.9083862755797,-135.3016375633888,0.0,61
431.7740173796774,-135.32141295308247,0.0,62
431.6753845674684,-135.34149352274835,0.0,63
431.51492314139614,-135.38603392848745,0.0,64
431.389801072306,-135.4317492558621,0.0,65
431.2980652306578,-135.471681506373,0.0,66
431.2083435508539,-135.5161608774215,0.0,67
431.12091069103917,-135.56495848484337,0.0,68
431.0085449668113,-135.63649168703705,0.0,69
430.9013672339497,-135.7150591951795,0.0,70
430.7998657688149,-135.80040159914643,0.0,71
430.7044373017852,-135.89216795610264,0.0,72
430.6154175273841,-135.98997679632157,0.0,73
430.53320317179896,-136.09332457464188,0.0,74
430.4581604471314,-136.2017230130732,0.0,75
430.37487797631184,-136.34356871480122,0.0,76
430.3169556123903,-136.46151915565133,0.0,77
430.2670593728544,-136.5828723027371,0.0,78
430.22546391387004,-136.70706358877942,0.0,79
430.1787109829602,-136.89747801609337,0.0,80
430.1582031712751,-137.0263537489809,0.0,81
430.1463318321039,-137.15608397405595,0.0,82
430.14404301455943,-137.28898802679032,0.0,83
430.1497498022509,-137.39477721136063,0.0,84
430.1613769995165,-137.50677672494203,0.0,85
430.1778870098642,-137.6230181781575,0.0,86
430.20437626709463,-137.78280821535736,0.0,87
430.23263554356527,-137.9424151489511,0.0,88
430.25299076811643,-138.05945006478578,0.0,89
430.2776489719399,-138.2116107060574,0.0,90
430.2937317361939,-138.32361021684483,0.0,91
430.31076054502046,-138.47134581347927,0.0,92
430.3198547815555,-138.58194151706994,0.0,93
430.32540898252046,-138.69253722019494,0.0,94
430.3265991677181,-138.80433836672455,0.0,95
430.32220463530393,-138.91815367620438,0.0,96
430.31381230137777,-139.03508177399635,0.0,97
