x,y,heading,index
434.99844364868477,-140.1085223266855,0.0,0
435.0901489717071,-140.06657591322437,0.0,1
435.0123291480704,-139.98747435258701,0.0,2
434.88452153018443,-139.9877490149811,0.0,3
434.7817383268266,-139.98797789542004,0.0,4
434.66079716506647,-139.98826781194657,0.0,5
434.5227051250404,-139.98893920099363,0.0,6
434.3737183068879,-139.9899310185574,0.0,7
434.2434692835086,-139.98878661217168,0.0,8
434.1383362272172,-139.986833488103,0.0,9
434.026306198386,-139.98410216439515,0.0,10
433.9072571261204,-139.9806994521059,0.0,11
433.7843323208508,-139.97661009663716,0.0,12
433.61911015346413,-139.97119322791696,0.0,13
433.4962463832926,-139.9673022343777,0.0,14
433.3749390098383,-139.96335020987317,0.0,15
433.22293095407076,-139.9585436899215,0.0,16
433.1171875469736,-139.95378294680268,0.0,17
433.00775151181733,-139.95030394615605,0.0,18
432.88482670573285,-139.9441546513699,0.0,19
432.7528992148,-139.94487181538716,0.0,20
432.60955815255875,-139.93985167331994,0.0,21
432.47778324829414,-139.9328478896059,0.0,22
432.3594665978453,-139.92717162054032,0.0,23
432.2534485319047,-139.92292967671528,0.0,24
432.147033738147,-139.92228880897164,0.0,25
431.9970093240845,-139.9236163198948,0.0,26
431.8773498995579,-139.92460814258084,0.0,27
431.6705322721973,-139.92662230413407,0.0,28
431.5461426250986,-139.9277361948043,0.0,29
431.4232788537629,-139.92883482994512,0.0,30
431.3022156218067,-139.92996397987008,0.0,31
431.18237309361575,-139.9310320932418,0.0,32
431.0230713346391,-139.93249693745747,0.0,33
