x,y,heading,index
396.9134216759703,-111.33733549946919,0.0,0
396.932769820909,-111.22790709510446,0.0,1
396.942871139443,-111.12438384164125,0.0,2
396.9612732397509,-111.02063933108002,0.0,3
396.96166996849934,-110.90351286716759,0.0,4
396.9580383756547,-110.77803984377533,0.0,5
396.9537659152993,-110.67357817618176,0.0,6
396.952148483193,-110.56069365236908,0.0,7
396.94552616839064,-110.42193785635754,0.0,8
396.94039921695367,-110.30192747851834,0.0,9
396.9315796357114,-110.15371123282239,0.0,10
396.93072514323285,-110.01334563083947,0.0,11
396.9240723112016,-109.90912809874862,0.0,12
396.9106140603544,-109.78592863958329,0.0,13
396.9055786585668,-109.65707579394802,0.0,14
396.8983459934825,-109.50222960114479,0.0,15
396.8884277791949,-109.37977782357484,0.0,16
396.88281254610047,-109.21498290030286,0.0,17
396.87384037778247,-109.09561339113861,0.0,18
396.86322026059497,-108.95756712928414,0.0,19
396.85485844378127,-108.83825865481049,0.0,20
396.8488769994001,-108.73742094542831,0.0,21
396.83724980131956,-108.58683958929032,0.0,22
396.8300781713915,-108.46576872607693,0.0,23
396.8235474092071,-108.34038725681603,0.0,24
396.8192749476875,-108.21446410054341,0.0,25
396.8135376445134,-108.04992858041078,0.0,26
396.80902104097186,-107.92926207138225,0.0,27
396.8031006308738,-107.77034178702161,0.0,28
396.7984619589406,-107.65133086033165,0.0,29
396.7939758768771,-107.53175536170602,0.0,30
396.7893677215907,-107.41150084370747,0.0,31
396.7847900846391,-107.29071989934891,0.0,32
396.78021244867705,-107.16973296320066,0.0,33
396.7756042932742,-107.04877653671429,0.0,34
396.77102665702114,-106.92799559375271,0.0,35
396.76644902088447,-106.80741301598027,0.0,36
396.76187138439855,-106.68696013139561,0.0,37
396.7552795870579,-106.52750578941777,0.0,38
396.7498779761954,-106.40943328244612,0.0,39
396.7438965314068,-106.25420561665669,0.0,40
396.7425842739758,-106.1368884188123,0.0,41
396.74438481236575,-105.97790709184483,0.0,42
396.74591069080634,-105.85735503025353,0.0,43
396.74725346284686,-105.73604003060609,0.0,44
396.74862675595796,-105.61451140325516,0.0,45
396.7502136681578,-105.45295897172764,0.0,46
396.75192265427904,-105.29203215287998,0.0,47
396.7532043927931,-105.17160215880722,0.0,48
396.7544861304923,-105.05117980064824,0.0,49
396.7557678676094,-104.93074217671528,0.0,50
396.7574768533814,-104.76999846007675,0.0,51
396.7587585913134,-104.64933195943013,0.0,52
396.7604675744078,-104.48839751072228,0.0,53
396.7621765593649,-104.3274935814552,0.0,54
396.76345829787897,-104.20684996573254,0.0,55
396.7647400351707,-104.08622160647064,0.0,56
396.7660217754892,-103.9656085120514,0.0,57
396.76773075788515,-103.80478850146756,0.0,58
396.7694397433661,-103.64396086428314,0.0,59
396.77072148158913,-103.52332487981766,0.0,60
396.7724304657313,-103.36246672458947,0.0,61
396.7741394506302,-103.20162383234128,0.0,62
396.7758484337246,-103.04078093124554,0.0,63
396.77713017258793,-102.92016783496365,0.0,64
396.7784119101125,-102.79954710835591,0.0,65
396.77969364990713,-102.67892638035119,0.0,66
396.7814026342239,-102.5180987440981,0.0,67
396.7826843720977,-102.39747801749036,0.0,68
396.78439335682197,-102.236650376115,0.0,69
396.7861023414298,-102.07582274405286,0.0,70
396.787811324175,-101.9149951050058,0.0,71
396.789093062398,-101.79437437606975,0.0,72
396.7903748007375,-101.67375365272164,0.0,73
396.79165653919335,-101.55313292564824,0.0,74
396.79379277158296,-101.35209838161245,0.0,75
396.79507450805977,-101.23147764988244,0.0,76
396.7963562467485,-101.11085692280903,0.0,77
396.7976379856118,-100.99023619666696,0.0,78
396.79891972470796,-100.86961546447128,0.0,79
396.8002014614758,-100.74899473972619,0.0,80
396.80148320051376,-100.62837401498109,0.0,81
396.80276493745623,-100.5077532865107,0.0,82
396.80404667690163,-100.3871325594373,0.0,83
396.80575566127663,-100.22630492178723,0.0,84
396.80703739856835,-100.10568419191986,0.0,85
396.8087463832344,-99.94485655939206,0.0,86
396.81045536807505,-99.78402892081067,0.0,87
396.8117371057742,-99.66340819327161,0.0,88
396.8130188456853,-99.5427874638699,0.0,89
396.81515507615404,-99.34175291797146,0.0,90
396.8168640592485,-99.18092528358102,0.0,91
396.8181457974133,-99.06030455464497,0.0,92
396.82028202846413,-98.85927000967786,0.0,93
396.8215637667454,-98.73864928260446,0.0,94
396.82284550525947,-98.61802855413407,0.0,95
396.82412724377355,-98.49740782333538,0.0,96
396.8254089822876,-98.37678709812462,0.0,97
396.8271179665462,-98.21595946047455,0.0,98
396.8288269509212,-98.05513182468712,0.0,99
396.83010868751444,-97.93451109994203,0.0,100
396.8318176721805,-97.77368346275762,0.0,101
396.83309941127663,-97.65306273382157,0.0,102
396.8343811506056,-97.53244200302288,0.0,103
396.8356628877227,-97.41182127734646,0.0,104
396.8373718728544,-97.25099363923073,0.0,105
396.83908085589064,-97.09016600577161,0.0,106
396.8403625955689,-96.96954527776688,0.0,107
396.8416443330352,-96.84892455302179,0.0,108
396.8429260707344,-96.7283038222231,0.0,109
396.84420781058725,-96.60768309561536,0.0,110
396.84548954834463,-96.48706236900762,0.0,111
396.84677128627663,-96.36644163820893,0.0,112
396.848480270186,-96.20561400428414,0.0,113
396.8497620083508,-96.08499327488244,0.0,114
396.85104374645744,-95.96437254967168,0.0,115
396.8523254847969,-95.84375182166696,0.0,116
396.8540344692883,-95.68292418448254,0.0,117
396.855316207686,-95.56230345834047,0.0,118
396.85659794631647,-95.44168272987008,0.0,119
396.85830693121534,-95.28085509222001,0.0,120
396.86001591413515,-95.12002745550126,0.0,121
396.86129765294027,-94.99940672842786,0.0,122
396.8634338846314,-94.79837218252942,0.0,123
396.86514286807505,-94.63754454255104,0.0,124
396.8668518514023,-94.4767169104889,0.0,125
396.86856083740713,-94.31588927097619,0.0,126
396.87026982108364,-94.15506163565442,0.0,127
396.8715515584918,-94.034440909978,0.0,128
396.8728332982864,-93.91382017964497,0.0,129
396.874115035811,-93.79319945164025,0.0,130
396.8758240203024,-93.63237181352451,0.0,131
396.8775330046774,-93.47154417820275,0.0,132
396.8792419892852,-93.31071654288098,0.0,133
396.88052372739185,-93.19009581347927,0.0,134
396.8818054654985,-93.06947508826852,0.0,135
396.88351445057197,-92.90864745108411,0.0,136
396.8852234336082,-92.74781981250271,0.0,137
396.88650517194765,-92.62719908542931,0.0,138
396.88784794620005,-92.49269286124036,0.0,139
396.89105229167035,-92.3666018601507,0.0,140
396.8872986304341,-92.2467593299225,0.0,141
396.88964848261094,-92.13495817966759,0.0,142
396.89086918666726,-91.97672453988343,0.0,143
396.8918152305996,-91.83477202197537,0.0,144
396.893188522954,-91.67905608098954,0.0,145
396.89605717372615,-91.5546053997241,0.0,146
396.89605717529776,-91.45269194524735,0.0,147
396.8987122037797,-91.29007140081376,0.0,148
396.89739994867705,-91.1613406278193,0.0,149
396.89984135504346,-91.03736296575516,0.0,150
396.9024658673443,-90.93169585149735,0.0,151
396.9041443341994,-90.82067290088162,0.0,152
396.90606693946756,-90.70166960451752,0.0,153
